fpga,pcb name,syzygy name,XDC name
M21,GTR_LANE0_RX_P,RX0P,J2_RX_0_P
M22,GTR_LANE0_RX_N,RX0N,J2_RX_0_N
H21,GTR_LANE1_RX_P,RX1P,J2_RX_1_P
H22,GTR_LANE1_RX_N,RX1N,J2_RX_1_N
L19,GTR_CLK0_P,REFCLKP,J2_REFCLK_P
L20,GTR_CLK0_N,REFCLKN,J2_REFCLK_N
Y4,MIO15,S2,J2_S2
Y3,MIO16,S4,J2_S4
AA4,MIO19,S6,J2_S6
AB4,MIO20,S8,J2_S8
AB5,MIO23,S10,J2_S10
E10,MIO35,S12,J2_S12
G11,MIO27,S14,J2_S14
G12,MIO28,S16,J2_S16
D5,HD_DP_07_GC_P,P2C_CLK_P,J2_P2C_CLK_P
C5,HD_DP_07_GC_N,P2C_CLK_N,J2_P2C_CLK_N
K21,GTR_LANE0_TX_P,TX0P,J2_TX_0_P
K22,GTR_LANE0_TX_N,TX0N,J2_TX_0_N
F21,GTR_LANE1_TX_P,TX1P,J2_TX_1_P
F22,GTR_LANE1_TX_N,TX1N,J2_TX_1_N
W3,MIO13,S0,J2_S0
W5,MIO14,S1,J2_S1
AA3,MIO17,S3,J2_S3
Y5,MIO18,S5,J2_S5
W6,MIO21,S7,J2_S7
AA6,MIO22,S9,J2_S9
D10,MIO36,S11,J2_S11
E11,MIO37,S13,J2_S13
F9,MIO29,S15,J2_S15
G10,MIO30,S17,J2_S17
C8,HD_DP_08_GC_P,C2P_CLK_P,J2_C2P_CLK_P
C7,HD_DP_08_GC_N,C2P_CLK_N,J2_C2P_CLK_N
D21,GTR_LANE2_RX_P,RX0P,J1_RX_0_P
D22,GTR_LANE2_RX_N,RX0N,J1_RX_0_N
B21,GTR_LANE3_RX_P,RX1P,J1_RX_1_P
B22,GTR_LANE3_RX_N,RX1N,J1_RX_1_N
J19,GTR_CLK1_P,REFCLKP,J1_REFCLK_P
J20,GTR_CLK1_N,REFCLKN,J1_REFCLK_N
